BFGS+LiFukushima ($\xi$=1.0)<linestyle=dashed>,BFGS+LiFukushima ($\xi$=0.8),BFGS+LiFukushima ($\xi$=0.1),BFGS+Powell ($\xi$=1.0)<linestyle=dashed>,BFGS+Powell ($\xi$=0.8),BFGS+Powell ($\xi$=0.1),preconvex+LiFukushima ($\xi$=1.0)<linestyle=dashed>,preconvex+LiFukushima ($\xi$=0.8),preconvex+LiFukushima ($\xi$=0.1),preconvex+Powell ($\xi$=1.0)<linestyle=dashed>,preconvex+Powell ($\xi$=0.8),preconvex+Powell ($\xi$=0.1),CG(HagerZhang)<linestyle=dotted>,CG(DaiYuan)<linestyle=dotted>
0.12939119338989258,0.07721686363220215,0.06838798522949219,0.08041596412658691,0.06754398345947266,0.06256294250488281,0.09052300453186035,0.09475994110107422,0.06180381774902344,0.07730484008789062,0.08684611320495605,0.0626668930053711,0.06132984161376953,0.09263372421264648
0.09592604637145996,0.08671903610229492,0.1006767749786377,0.07707905769348145,0.11097526550292969,0.09026527404785156,0.09180212020874023,0.11108112335205078,0.08468890190124512,0.12400102615356445,0.1297299861907959,0.0993490219116211,0.1608870029449463,0.1338028907775879
0.16271400451660156,0.09533095359802246,0.08102798461914062,0.10386490821838379,0.0724642276763916,0.48954224586486816,0.14463114738464355,0.15084481239318848,0.21842026710510254,0.15648508071899414,0.1143651008605957,0.10391473770141602,0.08060216903686523,0.11074304580688477
0.16341400146484375,0.11881184577941895,0.23029232025146484,0.21909403800964355,0.14002203941345215,0.1625227928161621,0.16977906227111816,0.11798381805419922,0.22451400756835938,0.1433427333831787,0.3389618396759033,0.15343880653381348,0.14326977729797363,0.12513518333435059
0.5025019645690918,0.1973738670349121,0.11499643325805664,0.30972909927368164,0.10042285919189453,0.10954403877258301,0.183502197265625,0.13869428634643555,0.10962986946105957,0.12288403511047363,0.10657310485839844,0.07718229293823242,0.12186694145202637,0.09697103500366211
0.3224058151245117,0.17957806587219238,0.2497110366821289,0.3369629383087158,0.18414306640625,0.4905872344970703,0.21872520446777344,0.28635478019714355,0.2955639362335205,0.29279279708862305,0.20362210273742676,0.11780309677124023,0.15561485290527344,0.15275096893310547
0.16898202896118164,0.12293291091918945,0.1101388931274414,0.15139198303222656,0.20562982559204102,0.09129714965820312,0.11850404739379883,0.09722900390625,0.10696005821228027,0.17942214012145996,0.21864819526672363,0.10182404518127441,0.4028489589691162,0.35369300842285156
0.19827795028686523,0.400346040725708,0.08521175384521484,0.32576894760131836,0.23324871063232422,0.0952303409576416,0.1802659034729004,0.12151503562927246,0.13346004486083984,0.15577101707458496,0.15001177787780762,0.14772605895996094,0.13734698295593262,0.6382641792297363
0.11031293869018555,0.16982507705688477,0.22970318794250488,0.1455669403076172,0.06586647033691406,0.0726919174194336,0.061491966247558594,0.06463885307312012,0.0650031566619873,0.08842110633850098,0.2430431842803955,0.10346794128417969,0.09308481216430664,0.06767511367797852
0.08340787887573242,0.21090292930603027,0.07306289672851562,0.10993409156799316,0.11116909980773926,0.09588193893432617,0.14948678016662598,0.1603550910949707,0.12369489669799805,0.168731689453125,0.11867189407348633,0.08481693267822266,0.08670306205749512,0.9325809478759766
0.10292577743530273,0.13799715042114258,0.12533211708068848,0.327239990234375,0.13487839698791504,0.08524632453918457,0.17499399185180664,0.08121490478515625,0.1951441764831543,0.1429119110107422,0.08339905738830566,0.06311988830566406,0.06366491317749023,0.08794331550598145
0.12417793273925781,0.16120195388793945,0.07403302192687988,0.06613492965698242,0.08056282997131348,0.06074118614196777,0.09771299362182617,0.16270995140075684,0.060849905014038086,0.07782983779907227,0.06875491142272949,0.06014585494995117,0.06994104385375977,0.11982488632202148
0.08105587959289551,0.07388496398925781,0.06697201728820801,0.06695985794067383,0.06499791145324707,0.08066797256469727,0.11412501335144043,0.11599111557006836,0.07088613510131836,0.10322785377502441,0.07990288734436035,0.05693316459655762,0.08839702606201172,0.40112805366516113
0.1458570957183838,0.08058714866638184,0.09199285507202148,0.19178485870361328,0.11088418960571289,0.08524703979492188,0.11741518974304199,0.17528486251831055,0.07000589370727539,0.20740985870361328,0.16805291175842285,0.08701515197753906,0.10067296028137207,0.23042678833007812
0.13155770301818848,0.10272097587585449,0.07813906669616699,0.14501571655273438,0.13320589065551758,0.12581110000610352,0.15313196182250977,0.18677496910095215,0.0916590690612793,0.15904593467712402,0.11075901985168457,0.12031292915344238,0.09799385070800781,0.2619361877441406
0.09969305992126465,0.08814191818237305,0.09476208686828613,0.13758206367492676,0.1058661937713623,0.07840085029602051,0.12496590614318848,0.11459875106811523,0.08329916000366211,0.18874597549438477,0.12129902839660645,0.1878652572631836,0.14743304252624512,0.14255380630493164
0.10155916213989258,0.10713720321655273,0.06766319274902344,0.08314704895019531,0.0721580982208252,0.28923797607421875,0.1882622241973877,0.07501697540283203,0.07398200035095215,0.0858769416809082,0.12292194366455078,0.07690882682800293,0.07089090347290039,0.0992581844329834
0.07123208045959473,0.09495210647583008,0.0741877555847168,0.07315707206726074,0.0766451358795166,0.055737972259521484,0.19455409049987793,0.2057020664215088,0.07944798469543457,0.09691095352172852,0.13056087493896484,0.0673069953918457,0.05670499801635742,0.11366081237792969
0.24529600143432617,0.2092571258544922,0.17850899696350098,0.2998080253601074,0.12288022041320801,0.09168195724487305,0.16481924057006836,0.16059279441833496,0.11035704612731934,0.17238903045654297,0.14375925064086914,0.10070419311523438,0.08690309524536133,0.1015629768371582
0.13089513778686523,0.08794188499450684,0.0625450611114502,0.11208868026733398,0.12675714492797852,0.08828306198120117,0.3933558464050293,0.10527706146240234,0.14438509941101074,0.10666584968566895,0.1141963005065918,0.0815267562866211,0.09231305122375488,0.36647868156433105
0.15068960189819336,0.1359119415283203,0.10285615921020508,0.1108858585357666,0.10707998275756836,0.0967860221862793,0.11089897155761719,0.09940099716186523,0.20218801498413086,0.07698202133178711,0.10676980018615723,0.08444809913635254,0.07640814781188965,0.07447290420532227
0.8744969367980957,0.0965728759765625,0.0753636360168457,0.09177088737487793,0.11410403251647949,0.07329201698303223,0.12244701385498047,0.12984681129455566,0.0896449089050293,0.11768817901611328,0.09093499183654785,0.07023167610168457,0.07129597663879395,0.1300511360168457
0.08750224113464355,0.06554174423217773,0.11139369010925293,0.07996416091918945,0.08352994918823242,0.06836867332458496,0.07991909980773926,0.08915209770202637,0.07222199440002441,0.07622885704040527,0.0700230598449707,0.07282423973083496,0.06876802444458008,0.17624711990356445
0.11836695671081543,0.07855486869812012,0.07067489624023438,0.08536505699157715,0.08171606063842773,0.0777750015258789,0.08526802062988281,0.06785893440246582,0.06773209571838379,0.12064385414123535,0.06760978698730469,0.07688403129577637,0.06643295288085938,0.6815781593322754
0.05817723274230957,0.06300473213195801,0.053549766540527344,0.05434679985046387,0.05406594276428223,0.056793928146362305,0.06143784523010254,0.08187985420227051,0.07808709144592285,0.07418680191040039,0.06514501571655273,0.06109023094177246,0.05493307113647461,0.054609060287475586
0.08999991416931152,0.09219980239868164,0.0762321949005127,0.07268691062927246,0.07968401908874512,0.09250020980834961,0.10843586921691895,0.08158302307128906,0.07445287704467773,0.09052586555480957,0.09114289283752441,0.09191012382507324,0.07294511795043945,0.1903989315032959
0.07953000068664551,0.06269288063049316,0.048573970794677734,0.07335615158081055,0.05737900733947754,0.05212998390197754,0.0652322769165039,0.0752260684967041,0.06017184257507324,0.055197954177856445,0.06345605850219727,0.05612683296203613,0.05293393135070801,0.06580519676208496
0.08493828773498535,0.08094120025634766,0.0833289623260498,0.08282232284545898,0.08893084526062012,0.06535911560058594,0.10337710380554199,0.09499478340148926,0.07846999168395996,0.08242297172546387,0.08312797546386719,0.06759381294250488,0.0726461410522461,0.0680241584777832
0.043498992919921875,0.05431509017944336,0.050031185150146484,0.05045723915100098,0.049043893814086914,0.046285152435302734,0.054849863052368164,0.05731821060180664,0.044921159744262695,0.04816699028015137,0.0483393669128418,0.04739117622375488,0.0446469783782959,0.04554891586303711
